frame,eyes,eyeRearR,eyeRearL,eyeRnose,eyeLearR,eyeLearL,eyeLnose,ears,earRnose,earLnose
339.0,212.0,385.18696758846863,454.61412208597307,226.10838109190027,469.0682253148256,377.69034936042516,132.7742444904131,320.0390601161052,567.1014018674261,510.10685155171166
340.0,214.0,384.365711269879,449.0100221598623,239.70815588961506,470.02659499224086,364.8698398059231,139.16896205691842,331.48906467634794,578.6959477998788,504.02579299079525
341.0,212.0,382.099463490856,438.60004559963284,238.8053600738476,468.8027303674756,354.6857764275303,143.4015341619468,331.94276615103394,579.5895099119721,498.0863378973569
343.0,208.0,383.7186469276676,437.7590661539747,246.9169900999119,466.8618639383603,348.919761549844,142.12670403551894,339.8072983324519,584.999145298521,490.02550954006466
361.0,227.0,362.2443926412112,498.4536086738665,236.40008460235373,443.13654780439856,363.3249234500711,146.99659860010368,400.9102143872116,548.6073276944084,509.25141138734216
363.0,228.0,347.03602118512134,527.7319395299095,233.03433223454437,417.9688983644597,375.8257574994029,149.61617559608987,420.5246722845165,525.1866334932754,522.8020657954595
364.0,232.0,357.1134273588715,541.0083178658161,226.63186007267382,420.9251714972627,382.79237191981764,148.7615541731129,423.0650068251923,524.3243271106157,529.7735365229184
365.0,233.0,360.1999444752872,546.80526698268,222.60727750906977,422.4227740072734,387.43902746109615,146.15402833996743,425.0599957653037,521.7758139277826,532.2649716071874
366.0,231.0,369.59707791052676,558.2051594172165,218.21548982599745,424.5715487406098,397.46446382035214,145.09651959988565,428.51487722131657,524.5073879365285,541.0924135487394
367.0,231.0,377.96560690094543,569.2275467684254,217.00230413523263,428.65487282894617,410.55693880386434,143.26548781894402,426.12908842274544,528.5640926131854,552.6029315883151
368.0,232.0,370.06080581439585,567.0008818335294,221.02036105300343,421.6360990237909,406.3520641020542,146.54009690183776,425.9213542427757,525.0,551.2349771195584
369.0,231.0,366.77104574925215,567.609020365251,221.63483480716653,413.82363393117123,406.04063836025085,153.2351134694656,420.8669623527131,523.6993412254783,557.3742010534754
370.0,232.0,351.1182137115647,561.1782248091955,220.22942582679545,405.1123301011708,393.49841168675636,146.93195704134618,434.03801676811673,506.4987660399579,537.9535295915438
371.0,228.0,345.418586645247,546.4137626378018,227.24656213021134,404.40820961004243,376.4359175211632,148.32734070291963,443.4974633523849,511.34039543145815,519.3120449209704
372.0,230.0,350.36552341804406,538.6585189152771,230.2281477143922,410.23895475685873,367.6044069376753,148.94629904767692,439.7101317913882,518.3020354966783,511.1320768646789
373.0,229.0,340.177894637497,530.3630831798156,232.24555969921147,403.88612256426933,359.8027237250991,150.2165104108067,438.2168413011987,512.7114198065028,504.052576622717
376.0,226.0,345.023187626571,519.2119027911436,236.48467180770933,410.2547988750406,352.82998738769356,157.2800050864699,434.1658669218482,526.9724850502159,503.5871324805669
377.0,225.0,347.1166950753017,518.926777108293,234.94893062110327,408.7358560244012,353.63823322712153,157.56268593801008,428.3654981438164,526.5405967254567,504.95346320230345
378.0,225.0,347.24343046341426,519.2119027911436,234.0683660813652,406.63620104461927,353.42042951702723,159.10059710761615,425.54083235337123,525.5720692730922,506.4632267006164
379.0,225.0,350.2798880895105,519.2119027911436,234.0683660813652,408.6820279875297,353.42042951702723,159.10059710761615,425.0,528.1098370604358,506.4632267006164
380.0,225.0,353.45862558438154,518.9547186412317,233.54014644167714,409.21632421006865,352.40459701882435,156.8948692596415,422.8344829835902,528.1382394790212,503.0159043211258
381.0,224.0,349.32220084042757,517.5413026996009,235.07658326596462,406.79478856052225,352.82998738769356,156.0416611036937,421.882685115187,525.8868699634932,502.22106686199453
382.0,223.0,351.2406582387637,515.5938323913505,233.54014644167714,409.0244491469917,352.4656011584677,156.32018423735306,421.04750325824284,527.7849941027123,502.5892955485622
383.0,222.0,351.51386885868385,516.9912958648337,233.54014644167714,405.47503005733904,353.20815392626486,156.0416611036937,418.3993307834036,525.928702392254,502.3594330755619
384.0,221.0,350.3212811120672,514.762080965566,237.0759372015642,406.1231340369568,353.0509878190401,151.10923201446033,417.92941987852447,525.594901040716,496.03729698481345
385.0,213.0,359.0891254271006,505.35136291495246,232.80034364235806,413.4077889929023,350.25847598594953,142.57980221616245,416.80331092734855,529.7971309850592,483.3218389437829
391.0,194.0,374.7118893229837,445.9069409641433,250.2258979402412,442.15947349344447,325.13535642867265,153.05227865013967,390.287073831558,578.5101554856233,466.2038180881834
392.0,191.0,371.79698761555346,435.9323341987837,255.80070367377803,441.54274991216874,317.5531451584128,153.63918770938616,390.7019324241947,581.3819742647686,456.1765009291908
469.0,217.0,280.94305472817797,486.56345937606125,194.80503073586164,340.6405730385034,325.41204648875555,133.29666162361306,387.4183785005559,419.3184947030121,457.62976301809744
470.0,217.0,310.27246091137386,517.0009671170839,198.65799757371965,371.1010644015994,367.6098475285993,137.2953021774598,400.0012499980469,456.002192977183,504.38576506479643
471.0,219.0,332.0993827154757,541.4960757013849,203.8872237291979,382.65519727294964,392.6232290631821,152.9477034806342,400.0049999687504,484.1487374764082,545.0467869825488
472.0,216.0,345.2202195700594,557.4737661989127,203.82345301755635,391.54182407502776,414.85539649376625,152.97058540778355,400.17995951821473,496.9557324349926,567.3420485033698
473.0,213.0,355.3547523250533,566.0830327787612,203.08865059377396,398.0452235613436,426.86414700698396,152.11837495845134,400.21119424623794,505.9525669467445,578.4021092630974
474.0,212.0,369.66065519608657,579.7111349629228,201.06217943710845,408.35401308178666,446.6956458261038,148.97650821522163,393.6724526811598,515.7567255984162,595.4133018332728
475.0,215.0,374.20448955083367,577.0207968522452,209.0287061625747,416.3580190172876,441.74426991190273,149.69301920931383,398.24615503479754,526.5453446760307,590.8180769069274
