frame,eyes,eyeRearR,eyeRearL,eyeRnose,eyeLearR,eyeLearL,eyeLnose,ears,earRnose,earLnose
725.0,224.0,441.2493626057719,633.5905617983905,235.03191272676142,439.7237769327467,491.4275124573308,165.72265988693277,354.0,586.9727421269237,654.2789924795079
729.0,219.0,425.97887271553736,582.2413588882191,230.72927859289987,437.3934155883008,439.7385586914115,163.5145253486674,357.02801010564986,578.9801378285787,600.1741413956453
730.0,219.0,414.36698710201324,559.6445300367011,228.12715752404404,439.75106594526864,421.4747916542578,158.4455742518547,361.1121709386157,571.87586065509,577.91694905064
731.0,211.0,414.23785437837523,539.8601670803283,228.7116088002531,450.1222056286492,411.4365078599613,158.39823231336896,365.77862157321334,582.5804665451803,567.5085902433548
732.0,206.0,421.62779794505957,531.1431068930482,227.75864418282788,459.05337380309055,408.35401308178666,162.265215003093,363.8804748815193,595.1873654572987,568.4619600289891
733.0,193.0,434.46058509374586,523.2666624198412,220.6581065811995,467.20980297934676,409.2248770541693,163.95426191471816,358.13405311419353,607.7318487622646,570.6925617177782
734.0,190.0,441.54841184178207,515.4813284688399,221.33458834985552,471.9163061391289,403.8824086290464,158.26875876179733,351.5366268257121,611.3198835307093,558.7575502845576
735.0,186.0,438.092455995307,503.9067374028651,227.75864418282788,472.4118965479172,402.077107032967,158.39823231336896,338.6930763980864,615.1105591680247,556.5608681896348
736.0,182.0,429.01864761336424,488.3287826864192,223.60679774997897,467.5863556606416,393.3764100705582,153.06207890917986,330.6750670975966,604.8016203681998,543.184130843308
737.0,176.0,432.90645640831,479.7707786016151,234.77648945326703,477.7447016974652,395.2973564293088,164.19500601419034,330.7748478950599,627.4009882045134,555.4277630799527
1000.0,174.0,460.5475002646307,480.9532201784286,194.91793144808406,525.8174588200737,446.0403569185192,130.8166656049603,278.0287754891569,627.781012774359,574.9478237196832
1001.0,183.0,451.1163929630578,494.92322636950473,201.0198995124612,521.3108477674333,457.05360735913683,131.0267148332736,285.44876948412303,621.4989943676499,586.046073274107
1002.0,194.0,442.2239251781839,492.93001531657615,194.48650338776724,521.1621628629615,454.00440526497096,117.34138229968147,291.9075196016711,601.1763468400932,566.961197966845
1003.0,203.0,451.1108511219831,509.82840250421515,203.0295544988463,524.1698198103359,457.5784085815239,115.80155439371269,300.2399040767233,607.1836624943065,570.753887415583
1004.0,210.0,452.83551097501174,524.6046130182235,200.30227157973022,526.1938806181615,467.89956187198976,123.8587905640936,305.5912302406599,608.1685621601958,586.8125765523434
1005.0,211.0,448.26443088873333,531.989661553681,201.94306128213466,517.9285665031424,465.8003864317848,123.4908903522847,316.51224304914336,601.6643582596529,585.9180830116101
1006.0,211.0,439.2095172010734,529.2806438931997,196.69773765857096,509.6979497702536,460.41828808160955,123.5677951571525,320.68832220709254,589.2342488348755,579.7723691242969
1007.0,212.0,442.0904884749275,533.0459642469868,190.8219064992277,515.5851045171884,469.16308465180845,119.85407794480753,318.3237345847777,586.9829639776609,582.4748921627438
1008.0,215.0,444.3894688221133,552.7820547014891,178.71765441612084,522.8546643188716,493.3892986273618,113.1591799192624,325.3459696999488,577.0008665504758,594.4711935830028
1009.0,216.0,450.1388674620311,576.4312621640155,182.28000438885226,512.937618039465,502.7772866787043,124.55520864259351,327.53625753494833,582.8181534578346,618.7511616150713
1010.0,216.0,453.07063466969475,589.0916736807608,190.06577808748213,505.3563099437861,502.4151669685142,125.78155667664477,337.0370899470858,586.1211478866805,624.1666444147749
1011.0,214.0,448.0178567869812,593.6227758433802,189.8341381311591,498.2248488383533,503.5076960682925,126.17844506887855,344.33123587615455,580.9001635393125,626.6234914204861
1012.0,217.0,446.49412090194426,598.0008361198168,191.01047091717248,487.16732238523554,499.3215396916099,129.37542270462347,338.61187220769443,574.6042116100438,626.1629180971994
1013.0,219.0,446.8780594300866,603.619085185351,186.81541692269406,485.17728718479805,502.0049800549791,134.30189872075525,339.70575502926056,572.7128425310541,632.7400730157684
1014.0,219.0,446.07734755308974,606.7833221175414,195.68597292601225,477.6107201476952,497.51080390278963,138.70832707519762,342.9125252888847,576.589975632598,634.9055047800421
1046.0,239.0,402.8523302650737,610.9664475239209,184.20097719610501,415.98677863605235,471.1613311807326,144.1700384962146,341.0131962256006,504.4838946884231,611.5897317646856
1097.0,241.0,400.2811511925087,612.0400313704979,184.6131089603336,404.7715405015526,465.55128611142294,142.63590010933433,336.62144910863896,494.3126540965748,605.0429736803825
1100.0,242.0,405.4281687302943,616.1184950965196,183.60010893242955,403.63349712331853,464.7687597074485,145.34441853748632,335.9315406448165,496.5329797707298,607.2767079346943
1106.0,223.0,371.9408555133464,557.2477007579305,210.41150158677164,404.9506142729012,419.0584684742691,139.71399357258383,360.0347205478938,508.70915069418595,558.578553114958
1107.0,218.0,381.78135103747536,539.0482353185103,228.95414388038492,416.20307543313515,402.975185340239,149.45233353815524,357.6171136844544,539.400593251435,550.1172602273083
1108.0,213.0,388.2177224187479,519.781684940899,232.54461937443318,436.51345912812354,395.78276870020505,149.46571513226704,360.93766774887877,559.8035369663182,543.0727391427414
