frame,sita1,sita2,sita3,sita4,sita5,sita6,sita7,sita8,sita9,sita10,sita11,sita12,sita13,sita14,sita15,sita16,sita17,sita18,sita19,sita20,sita21,sita22,sita23,sita24,sita25,sita26,sita27,sita28,sita29,sita30,face
725,29.49218136,75.74863552,74.75918312,17.87683114,119.8341141,42.28905471,65.40696801,72.54239688,42.05063512,32.69363931,42.29088682,105.0154739,44.30907761,60.02626025,75.66466213,32.5907936,63.07998274,84.32922367,42.16666638,20.96003197,116.8733016,7.727678509,2.589893503,169.682428,74.47905605,20.95960198,84.56134197,23.08117448,8.473268022,148.4455575,0
729,29.39351715,72.2650407,78.34144215,18.8867842,120.6562712,40.45694455,65.15160272,72.36412641,42.48427087,37.60867148,46.59427653,95.79705199,48.09939849,65.65717866,66.24342285,35.21958544,69.02289525,75.75751932,39.09187349,19.95288679,120.9552397,7.674409273,2.842148579,169.4834421,74.40988637,22.37392536,83.21618827,25.77292503,9.333540827,144.8935341,0
730,29.56757766,68.87920813,81.55321421,20.18836976,118.2499295,41.56170078,66.27614334,72.386281,41.33757566,40.19396215,47.74230873,92.06372912,49.58549484,67.80167781,62.61282735,36.65170173,70.77012353,72.57817474,37.47872922,19.57847854,122.9427922,7.783857064,2.913535355,169.3026076,74.0207262,23.08595346,82.89332033,28.68991136,9.949558388,141.3605302,0
731,27.87240729,66.53205685,85.59553586,20.5291914,116.3854644,43.08534415,63.25150723,74.78283613,41.96565664,42.56627402,50.10781722,87.32590876,49.91322806,70.60249116,59.48428078,37.01469006,73.7260676,69.25924234,34.27235996,18.06695474,127.6606853,7.758116676,2.974669982,169.2672133,71.28669457,23.61842634,85.0948791,28.78403217,9.733362585,141.4826052,0
732,26.62810987,66.34484052,87.0270496,20.44984086,115.7622958,43.7878633,61.28443673,75.10983438,43.6057289,42.91663824,52.16055454,84.92280722,49.07029172,72.80791504,58.12179324,36.28038553,75.91304128,67.80657319,32.30697709,16.7486809,130.944342,7.626738149,3.020727963,169.3525339,69.05260175,23.53078318,87.41661507,28.39415799,9.662006518,141.9438355,0
733,24.38462779,68.18682275,87.42854946,19.38501892,115.9158784,44.6991027,58.26884632,75.81526391,45.91588976,42.68208748,55.27021111,82.04770141,47.67744989,74.68329314,57.63925697,35.23774964,78.03414542,66.72810494,31.18247264,15.21618,133.6013474,7.599234544,3.021074007,169.3796914,66.55859505,22.70165834,90.73974661,26.60519132,8.992924758,144.4018839,0
734,23.75634324,69.23322836,87.01042839,19.39513451,115.826894,44.77797153,57.32263848,78.25355842,44.4238031,42.19824828,57.55728057,80.24447115,46.55579755,76.97318612,56.47101633,34.56934758,81.00501775,64.42563467,32.53432899,15.63524035,131.8304307,9.481806283,3.70306552,166.8151282,67.34993155,23.33019335,89.3198751,23.95596953,7.828414689,148.2156158,0
735,23.2016627,68.08406268,88.71427461,20.00247373,112.3263431,47.67118318,54.26220016,82.14668636,43.59111348,41.3824854,58.94462002,79.67289459,44.61318824,78.73972111,56.64709065,33.06655211,83.09986974,63.83357815,31.5610811,15.7394704,132.6994485,10.95199041,4.282334552,164.765675,64.75506618,24.09122262,91.1537112,21.82930378,7.150309042,151.0203872,0
736,22.93675489,66.72421486,90.33903026,20.41815285,110.7024477,48.87939947,54.09883582,82.98253163,42.91863254,41.56310386,59.59594809,78.84094804,44.09077494,79.95084353,55.95838153,32.89656048,83.7633022,63.34013732,31.1660883,15.60561637,133.2282953,9.645649625,3.740119639,166.6142307,63.92886747,24.23438776,91.83674477,22.99634143,7.353647949,149.6500106,0
737,21.60374738,64.65246837,93.74378425,20.48102146,107.772357,51.74662156,48.68056897,86.90582634,44.41360469,42.08061701,61.32083684,76.59854616,43.20960505,81.75278182,55.03761312,31.68197971,86.27526297,62.04275732,27.08262889,14.27683923,138.6405319,10.66405877,4.406432566,164.9295087,59.11213451,24.78617655,96.10168894,20.60812259,6.950640889,152.4412365,0
